INFO:__main__:dataset:
- single-graph
- Planetoid
- CiteSeer
derive_num: 10
is_random: true
logfname: citeseer_random.log
nas_args:
  dynamic_behaviour: undefined
  dynamic_nas_steps: -1
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  debug: false
  prob_scale: 1
  type: basic
  with_combinations: true
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 300
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'tag', 2, 160], 0.7072072072072072)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 2, 120], 0.7372372372372372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 2, 220], 0.7462462462462462)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gin', 2, 180], 0.6036036036036037)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'tag', 2, 140], 0.6981981981981982)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gmm', 2, 100], 0.6561561561561562)
INFO:nas.trainer:train | 8 era_time 459.23296308517456
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gin', 2, 180], 0.5915915915915916)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 180], 0.7447447447447447)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 2, 140], 0.7402402402402403)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gat', 2, 220], 0.7072072072072072)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 2, 100], 0.7372372372372372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 2, 220], 0.7132132132132132)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 2, 220], 0.7312312312312312)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gat', 2, 180], 0.7447447447447447)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'ssg', 2, 220], 0.7417417417417418)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 2, 180], 0.6951951951951952)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gat', 2, 120], 0.7087087087087087)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gat', 2, 200], 0.7417417417417418)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sage', 2, 180], 0.6741741741741741)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'sg', 2, 220], 0.7357357357357357)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sage', 2, 120], 0.7522522522522522)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 2, 120], 0.7552552552552553)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 2, 220], 0.7462462462462462)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gin', 2, 180], 0.5285285285285285)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gin', 2, 180], 0.47897897897897895)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gat', 2, 200], 0.6906906906906907)
INFO:nas.trainer:train | 9 era_time 504.5414044857025
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'ssg', 2, 200], 0.7447447447447447)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 2, 120], 0.7432432432432432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'sage', 2, 220], 0.7357357357357357)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'ssg', 2, 220], 0.6396396396396397)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'ssg', 2, 220], 0.7432432432432432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 2, 140], 0.7537537537537538)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gat', 2, 120], 0.7432432432432432)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gin', 2, 220], 0.527027027027027)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gmm', 2, 180], 0.7222222222222222)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 2, 180], 0.7117117117117117)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'ssg', 2, 200], 0.7447447447447447)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 2, 160], 0.7402402402402403)
